iter	Passed	Remaining
522	215664	279167
523	216051	278722
524	216432	278270
525	216851	277866
526	217244	277430
527	217646	277004
528	218058	276592
529	218465	276173
530	218842	275717
531	219238	275283
532	219650	274871
533	220043	274436
534	220436	274000
535	220850	273590
536	221254	273168
537	221649	272736
538	222052	272312
539	222476	271915
540	222866	271477
541	223269	271054
542	223676	270636
543	224069	270201
544	224468	269774
545	224886	269369
546	225299	268958
547	225720	268557
548	226129	268142
549	226529	267716
550	226926	267287
551	227329	266864
552	227727	266436
553	228119	266002
554	228543	265604
555	228955	265192
556	229360	264773
557	229775	264365
558	230174	263938
559	230572	263511
560	231001	263119
561	231399	262692
562	231789	262255
563	232179	261819
564	232586	261402
565	232994	260987
566	233407	260576
567	233829	260176
568	234255	259781
569	234662	259363
570	235064	258941
571	235466	258518
572	235882	258112
573	236272	257676
574	236676	257256
575	237075	256832
576	237483	256416
577	237882	255990
578	238293	255578
579	238694	255155
580	239065	254701
581	239467	254280
582	239872	253861
583	240285	253451
584	240699	253043
585	241118	252639
586	241536	252234
587	241925	251799
588	242334	251385
589	242764	250994
590	243159	250565
591	243574	250157
592	243959	249719
593	244348	249284
594	244763	248877
595	245144	248434
596	245531	247998
597	245916	247561
598	246308	247131
599	246719	246719
600	247107	246284
601	247516	245872
602	247937	245470
603	248342	245053
604	248741	244630
605	249160	244226
606	249558	243802
607	249969	243391
608	250367	242967
609	250763	242541
610	251152	242109
611	251566	241701
612	251983	241295
613	252414	240904
614	252803	240472
615	253203	240049
616	253592	239618
617	253972	239178
618	254395	238778
619	254828	238387
620	255229	237967
621	255659	237574
622	256089	237180
623	256488	236758
624	256885	236334
625	257326	235951
626	257756	235557
627	258158	235137
628	258567	234725
629	258974	234310
630	259372	233887
631	259787	233480
632	260194	233065
633	260591	232641
634	261028	232253
635	261452	231853
636	261903	231478
637	262299	231053
638	262695	230629
639	263093	230207
640	263497	229789
641	263902	229373
642	264318	228966
643	264726	228553
644	265133	228138
645	265530	227714
646	265927	227291
647	266328	226872
648	266733	226456
649	267136	226038
650	267548	225628
651	267971	225227
652	268369	224805
653	268767	224384
654	269185	223978
655	269579	223553
656	269980	223134
657	270380	222714
658	270764	222281
659	271173	221869
660	271588	221461
661	271993	221045
662	272394	220627
663	272819	220227
664	273222	219810
665	273632	219399
666	274042	218987
667	274457	218579
668	274859	218161
669	275269	217750
670	275659	217323
671	276080	216920
672	276497	216514
673	276891	216090
674	277278	215661
675	277688	215249
676	278085	214828
677	278458	214388
678	278841	213956
679	279266	213556
680	279655	213129
681	280093	212739
682	280501	212326
683	280898	211906
684	281320	211503
685	281718	211083
686	282125	210670
687	282541	210263
688	282964	209862
689	283374	209450
690	283787	209041
691	284179	208616
692	284588	208205
693	285001	207796
694	285381	207363
695	285800	206958
696	286218	206553
697	286615	206133
698	287024	205721
699	287435	205311
700	287839	204895
701	288224	204467
702	288651	204068
703	289061	203657
704	289459	203237
705	289866	202824
706	290239	202387
707	290634	201966
708	291042	201553
709	291439	201134
710	291849	200723
711	292250	200306
712	292646	199886
713	293058	199476
714	293483	199076
715	293887	198661
716	294306	198256
717	294714	197844
718	295102	197419
719	295520	197013
720	295923	196598
721	296332	196186
722	296732	195769
723	297131	195351
724	297548	194945
725	297967	194540
726	298371	194126
